Model,Accuracy,Precision,Recall,F1,ROC_AUC
RandomForest,0.9243697478991597,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9745960884353742
GradientBoosting,0.9033613445378151,0.905511811023622,0.9126984126984127,0.9090909090909091,0.9494756235827665
SVM,0.8781512605042017,0.8646616541353384,0.9126984126984127,0.888030888030888,0.9352678571428572
LogisticRegression,0.8403361344537815,0.84375,0.8571428571428571,0.8503937007874016,0.9040532879818594
DecisionTree,0.8781512605042017,0.9145299145299145,0.8492063492063492,0.8806584362139918,0.8799603174603176
